상품명,현재 가격,원래 가격,할인율,품절 여부,무게/단위,상품 구매 URL
Banana Robusta,₹27,₹38,₹11 OFF,No,4 pcs,https://www.zepto.com/pn/banana-robusta/pvid/436c0025-de54-4748-a189-79e292f26071
Organically Grown Chilli,₹17,₹22,₹5 OFF,No,100 g,https://www.zepto.com/pn/organically-grown-chilli/pvid/fb80f31e-09d7-400b-9848-0d4d6457d500
Lettuce Green,₹13,₹21,₹8 OFF,No,100 g,https://www.zepto.com/pn/lettuce-green/pvid/ec1570e5-8089-492c-b3b3-abd7d14fdf25
Guava Thai,₹36,₹61,₹25 OFF,No,1 pc,https://www.zepto.com/pn/guava-thai/pvid/6ed88f72-38da-433a-8506-d601f4d5916d
Beans Haricot,₹30,₹33,₹3 OFF,No,250 g,https://www.zepto.com/pn/beans-haricot/pvid/4b83db84-5dab-4fd4-9888-34d71f0cd458
Mushroom Button,₹56,₹82,₹26 OFF,No,200 g,https://www.zepto.com/pn/mushroom-button/pvid/178b3f0f-c01d-4065-8f5c-d1902cbb5d51
Mint Leaves,₹10,₹13,₹3 OFF,No,100 g,https://www.zepto.com/pn/mint-leaves/pvid/ff5984f3-0bfb-4553-a959-7033078b1a85
Orange Nagpur,₹70,₹88,₹18 OFF,Yes,500 g,https://www.zepto.com/pn/orange-nagpur/pvid/2abc91ec-2fe9-452c-8123-eb1353a3f35e
Banana Elaichi / Yelakki,₹46,₹77,₹31 OFF,No,500 g,https://www.zepto.com/pn/banana-elaichi-yelakki/pvid/db471557-f745-4574-9e82-1916a88d9e6b
Organically Grown Capsicum,₹36,₹45,₹9 OFF,Yes,250 g,https://www.zepto.com/pn/organically-grown-capsicum/pvid/eace231a-5f63-4cbc-bb50-f6a3a0000790
Mango Sindhura,₹61,₹105,₹44 OFF,Yes,2 pcs,https://www.zepto.com/pn/mango-sindhura/pvid/9843fe13-87b8-4a08-9d27-1d0d0a870434
Tomato Local,₹47,₹58,₹11 OFF,No,500 g,https://www.zepto.com/pn/tomato-local/pvid/7e261768-88d6-4cbb-8b9b-8718625577bd
Dragon Fruit Imported,₹102,₹153,₹51 OFF,No,1 pc,https://www.zepto.com/pn/dragon-fruit-imported/pvid/5c81bb1c-4eda-4ac6-9467-dbdd8d077796
Kiwi Green,₹94,₹123,₹29 OFF,No,3 pcs,https://www.zepto.com/pn/kiwi-green/pvid/862df01f-c0d6-4bc9-9731-347885d2113d
Fresh Potato,₹33,₹53,₹20 OFF,No,1 pack (900 g - 1 kg),https://www.zepto.com/pn/fresh-potato/pvid/a8043677-61c7-4af4-b784-b6aa225306a4
Lemon,₹11,₹15,₹4 OFF,No,4 Pcs,https://www.zepto.com/pn/lemon/pvid/fc6f0ef3-91ad-40e3-8e44-e7c2451f9389
Mosambi,₹18,₹22,₹4 OFF,No,2 pcs,https://www.zepto.com/pn/mosambi/pvid/322e8a80-d094-47d5-bb6c-6b5b184c0a97
Carrot Local,₹19,₹38,₹19 OFF,No,250 g,https://www.zepto.com/pn/carrot-local/pvid/38e1b33f-32d2-48bc-8b97-e5b04abf0743
Fresh Onion,₹38,₹76,₹38 OFF,No,1 Pack / 900 -1000 gm,https://www.zepto.com/pn/fresh-onion/pvid/5b5c1960-d2d1-4528-8a74-bc7280174071
"Spinach (Palak) - Cleaned, without roots",₹21,₹33,₹12 OFF,No,1 pack (250 g),https://www.zepto.com/pn/spinach-palak-cleaned-without-roots/pvid/eeb31b35-04a7-47a7-a434-dd6625f1e82c
Lemon,₹15,₹23,₹8 OFF,No,200 g,https://www.zepto.com/pn/lemon/pvid/0d043da8-bd98-456e-b424-d5312993f188
