order_date,city_std(광역권 이름),temp_max(최고 기온),temp_min(최저 기온),rain_pre(강수량 합계),temp_range(최고 기온-최저 기온),heatwave(폭염),heavy_rain(폭우)
2023-03-01,other states,29.7,15.6,0.0,14.1,0,0
2023-03-02,other states,30.0,15.1,0.0,14.9,0,0
2023-03-03,other states,30.5,16.8,0.0,13.7,0,0
2023-03-04,other states,29.8,17.5,0.0,12.3,0,0
2023-03-05,other states,29.6,16.3,0.0,13.3,0,0
2023-03-06,other states,28.7,15.9,0.0,12.799999999999999,0,0
2023-03-07,other states,28.7,15.8,0.0,12.899999999999999,0,0
2023-03-08,other states,28.1,14.8,0.2,13.3,0,0
2023-03-09,other states,27.5,15.9,0.5,11.6,0,0
2023-03-10,other states,29.1,15.5,0.0,13.600000000000001,0,0
2023-03-11,other states,30.0,16.2,0.0,13.8,0,0
2023-03-12,other states,31.9,17.0,0.0,14.899999999999999,0,0
2023-03-13,other states,32.0,17.5,0.0,14.5,0,0
2023-03-14,other states,31.5,17.2,0.0,14.3,0,0
2023-03-15,other states,32.2,17.2,0.0,15.000000000000004,0,0
2023-03-16,other states,31.9,19.0,0.1,12.899999999999999,0,0
2023-03-17,other states,28.5,19.5,1.7,9.0,0,0
2023-03-18,other states,26.8,16.7,0.3,10.100000000000001,0,0
2023-03-19,other states,25.1,15.2,0.7,9.900000000000002,0,0
2023-03-20,other states,23.6,16.1,24.3,7.5,0,0
2023-03-21,other states,23.0,14.6,3.2,8.4,0,0
2023-03-22,other states,26.3,14.0,0.0,12.3,0,0
2023-03-23,other states,28.0,15.4,0.0,12.6,0,0
2023-03-24,other states,27.5,17.2,15.8,10.3,0,0
2023-03-25,other states,26.2,17.4,1.1,8.8,0,0
2023-03-26,other states,27.5,16.5,0.0,11.0,0,0
2023-03-27,other states,26.8,15.4,0.0,11.4,0,0
2023-03-28,other states,28.1,15.2,0.0,12.900000000000002,0,0
2023-03-29,other states,30.8,16.6,0.2,14.2,0,0
2023-03-30,other states,30.8,17.5,5.7,13.3,0,0
2023-03-31,other states,24.1,17.0,9.4,7.100000000000001,0,0
2023-04-01,other states,25.7,15.1,0.9,10.6,0,0
2023-04-02,other states,28.3,15.9,0.0,12.4,0,0
2023-04-03,other states,31.2,16.4,0.0,14.8,0,0
2023-04-04,other states,28.0,17.2,0.2,10.8,0,0
2023-04-05,other states,30.2,16.2,0.0,14.0,0,0
2023-04-06,other states,31.3,16.6,0.0,14.7,0,0
2023-04-07,other states,31.2,17.4,0.0,13.8,0,0
2023-04-08,other states,31.8,17.1,0.0,14.7,0,0
2023-04-09,other states,33.1,18.0,0.0,15.100000000000001,0,0
2023-04-10,other states,33.2,19.7,0.0,13.500000000000004,0,0
2023-04-11,other states,35.9,19.4,0.0,16.5,0,0
2023-04-12,other states,36.3,23.0,0.0,13.299999999999997,0,0
2023-04-13,other states,37.2,22.1,0.0,15.100000000000001,0,0
2023-04-14,other states,37.3,21.8,0.0,15.499999999999996,0,0
2023-04-15,other states,39.1,22.0,0.0,17.1,1,0
2023-04-16,other states,39.2,22.7,0.0,16.500000000000004,1,0
2023-04-17,other states,39.0,24.4,0.0,14.600000000000001,1,0
2023-04-18,other states,39.1,25.5,0.0,13.600000000000001,1,0
2023-04-19,other states,37.2,25.1,0.0,12.100000000000001,0,0
2023-04-20,other states,34.7,23.3,0.0,11.400000000000002,0,0
2023-04-21,other states,35.2,22.4,0.0,12.800000000000004,0,0
2023-04-22,other states,35.1,20.8,0.0,14.3,0,0
